story_id,assigned_session,emotion,story_path,question_num,question_text,answer_options,correct_answer,question_audio_path
12008_1_1_sad,0,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,1,How did Ginger die in the end?,A. The vet put her down | B. She got lost | C. She died in her sleep | D. She got hit by a car,"A,C",stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q1.wav
12008_1_1_sad,0,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,2,How did the other dogs act when Ginger got sick?,A. They tried to steal her food | B. They were nicer to her | C. They played tricks on her | D. They got sick too,B,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q2.wav
12008_1_1_sad,0,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,3,How do you think he felt when Ginger would cuddle with him?,A. Uncomfortable | B. Energized | C. Loved | D. Distant,C,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q3.wav
12008_1_1_sad,0,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,4,How did he feel when he found out Ginger had died?,Free response,,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q4.wav
12008_1_1_sad,0,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q5.wav
12008_1_2_happy,0,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,1,What activity is the story about?,A. Baby sister | B. Grandma | C. Mom | D. Great Uncle,A,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q1.wav
12008_1_2_happy,0,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,2,How did (she/he/they) feel at the beginning?,A. He didn't get a present | B. Sister went back to the hospital | C. He didn't get attention | D. He missed his dog,B,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q2.wav
12008_1_2_happy,0,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,3,What did (he/she/they) do at the top?,A. When everyone is quiet | B. When someone is lonely | C. When Jada squeals | D. When Jada crawls,C,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q3.wav
12008_1_2_happy,0,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,4,How did she feel when she got down?,Free response,,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q4.wav
12008_1_2_happy,0,happy,stim_normalized/12008_1_2_happy/story/12008_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_2_happy/questions/12008_1_2_happy_q5.wav
12008_1_2_sad,1,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,1,Who just got out of the hospital?,A. Baby sister | B. Grandma | C. Mom | D. Great Uncle,A,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q1.wav
12008_1_2_sad,1,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,2,Why was he/she/they sad?,A. He didn't get a present | B. Sister went back to the hospital | C. He didn't get attention | D. He missed his dog,B,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q2.wav
12008_1_2_sad,1,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,3,What do they call Pterodactyling?,A. When everyone is quiet | B. When someone is lonely | C. When Jada squeals | D. When Jada crawls,C,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q3.wav
12008_1_2_sad,1,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,4,How did he/she/they feel when Jada was in the hospital?,Free response,,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q4.wav
12008_1_2_sad,1,sad,stim_normalized/12008_1_2_sad/story/12008_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12008_1_2_sad/questions/12008_2_sad_studio_q5.wav
12014_1_2_happy,1,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,1,Where did she think she was going?,A. To a movie | B. Swimming | C. Top play softball | D. Kayaking,C,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q1.wav
12014_1_2_happy,1,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,2,What city were they in?,A. Chicago | B. Sacramento | C. Seattle | D. Indianapolis,A,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q2.wav
12014_1_2_happy,1,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,3,What did the boyfriend do?,A. Took her shopping | B. Canceled the outing | C. Sang her a song | D. Proposed to her,D,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q3.wav
12014_1_2_happy,1,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,4,How did she feel when her boyfriend proposed?,Free response,,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q4.wav
12014_1_2_happy,1,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q5.wav
12014_1_2_sad,0,sad,stim_normalized/12014_1_2_sad/story/12014_1_2_sad_studio.wav,1,What team did she join?,A. Golf | B. Soccer | C. Tennis | D. Swimming,B,stim_normalized/12014_1_2_sad/questions/12014_2_sad_studio_q1.wav
12014_1_2_sad,0,sad,stim_normalized/12014_1_2_sad/story/12014_1_2_sad_studio.wav,2,What happened when she was distracted?,A. The ball hit her head | B. She broke her leg | C. She ran into a pole | D. She was dropped from the team,A,stim_normalized/12014_1_2_sad/questions/12014_2_sad_studio_q2.wav
12014_1_2_sad,0,sad,stim_normalized/12014_1_2_sad/story/12014_1_2_sad_studio.wav,3,Where did she go right after she fell?,A. To her house | B. To her mom's house | C. To dinner | D. To the emergency room,D,stim_normalized/12014_1_2_sad/questions/12014_2_sad_studio_q3.wav
12014_1_2_sad,0,sad,stim_normalized/12014_1_2_sad/story/12014_1_2_sad_studio.wav,4,How did she feel the day this happened?,Free response,,stim_normalized/12014_1_2_sad/questions/12014_2_sad_studio_q4.wav
12014_1_2_sad,0,sad,stim_normalized/12014_1_2_sad/story/12014_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12014_1_2_sad/questions/12014_2_sad_studio_q5.wav
12014_1_2_spontaneous,0,spontaneous,stim_normalized/12014_1_2_spontaneous/story/12014_1_2_spontaneous_studio.wav,1,Where did she want to move?,A. Somewhere snowy | B.Somewhere rainy | C. Somewhere warm | D. Somewhere windy,C,stim_normalized/12014_1_2_spontaneous/questions/12014_2_spontaneous_studio_q1.wav
12014_1_2_spontaneous,0,spontaneous,stim_normalized/12014_1_2_spontaneous/story/12014_1_2_spontaneous_studio.wav,2,What animals moved with her?,A. Cats | B. Dogs | C. Birds | D. Bunnies,B,stim_normalized/12014_1_2_spontaneous/questions/12014_2_spontaneous_studio_q2.wav
12014_1_2_spontaneous,0,spontaneous,stim_normalized/12014_1_2_spontaneous/story/12014_1_2_spontaneous_studio.wav,3,Where did she move to?,A. New York | B. Minneapolis | C. San Francisco | D. Las Vegas,C,stim_normalized/12014_1_2_spontaneous/questions/12014_2_spontaneous_studio_q3.wav
12014_1_2_spontaneous,0,spontaneous,stim_normalized/12014_1_2_spontaneous/story/12014_1_2_spontaneous_studio.wav,4,How did she feel about the move?,Free response,,stim_normalized/12014_1_2_spontaneous/questions/12014_2_spontaneous_studio_q4.wav
12014_1_2_spontaneous,0,spontaneous,stim_normalized/12014_1_2_spontaneous/story/12014_1_2_spontaneous_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12014_1_2_spontaneous/questions/12014_2_spontaneous_studio_q5.wav
12015_1_2_happy,0,happy,stim_normalized/12015_1_2_happy/story/12015_1_2_happy_studio.wav,1,Who was she on the phone with?,A. Her mom | B. Her daughter | C. Her dad | D. Her sister,D,stim_normalized/12015_1_2_happy/questions/12015_2_happy_studio_q1.wav
12015_1_2_happy,0,happy,stim_normalized/12015_1_2_happy/story/12015_1_2_happy_studio.wav,2,What did the sister ask her?,A. To be her maid of honor | B. To go out to dinner | C. To go on vacation | D. To exercise with her,A,stim_normalized/12015_1_2_happy/questions/12015_2_happy_studio_q2.wav
12015_1_2_happy,0,happy,stim_normalized/12015_1_2_happy/story/12015_1_2_happy_studio.wav,3,What were they wondering about,A. What kind of cake to have | B. What her fiance did with the ring | C. Where the wedding will be | D. What to wear,B,stim_normalized/12015_1_2_happy/questions/12015_2_happy_studio_q3.wav
12015_1_2_happy,0,happy,stim_normalized/12015_1_2_happy/story/12015_1_2_happy_studio.wav,4,How did she feel during this conversation?,Free response,,stim_normalized/12015_1_2_happy/questions/12015_2_happy_studio_q4.wav
12015_1_2_happy,0,happy,stim_normalized/12015_1_2_happy/story/12015_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12015_1_2_happy/questions/12015_2_happy_studio_q5.wav
12015_1_2_sad,1,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,1,Where did the family move?,A. England | B. Canada | C. Australia | D. The United States,D,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q1.wav
12015_1_2_sad,1,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,2,Where did the gerbils go when they moved?,A. They brought them along | B. They stayed with her friend | C. They lived with her grandparents | D. They ran away,B,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q2.wav
12015_1_2_sad,1,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,3,How did she feel when she when she found out she was moving to the US?,A. Upset | B. Excited | C. Didn't care | D. Happy,A,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q3.wav
12015_1_2_sad,1,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,4,How did she feel when she got a picture from her friend?,Free response,,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q4.wav
12015_1_2_sad,1,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q5.wav
12016_1_1_happy,1,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,1,What animal did her mom bring home?,A. Dog | B. Hamster | C. Guinea Pig | D. Cat,D,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q1.wav
12016_1_1_happy,1,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,2,Where did she volunteer?,A. Animal Shelter | B. Retirement home | C. Elementary School | D. Museum,A,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q2.wav
12016_1_1_happy,1,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,3,What was her concern for her boyfriend?,A. He is allergic to cats | B. He doesn't like animals | C. He wanted to move | D. He wanted a dog instead,A,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q3.wav
12016_1_1_happy,1,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,4,How did she feel when she took her kitty home?,Free response,,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q4.wav
12016_1_1_happy,1,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q5.wav
12016_1_2_happy,1,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,1,What was the restaurant she mentioned?,A. Dominos | B. Papa John's | C. Pizza Hut | D. Little Caesar's,D,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q1.wav
12016_1_2_happy,1,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,2,What did she win?,A. A lifetime of free pizza | B. A free pizza party | C. Free pizza for a year | D. A free pizza,C,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q2.wav
12016_1_2_happy,1,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,3,How do you think she felt when she filled out the survey?,A. Upset | B. Anxious | C. Hopeful | D. Sad,C,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q3.wav
12016_1_2_happy,1,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,4,How did she feel when she got 52 gift cards?,Free response,,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q4.wav
12016_1_2_happy,1,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q5.wav
9227_3_1_happy1,0,happy,stim_normalized/9227_3_1_happy1/story/9227_3_1_happy1_studio.wav,1,Who was he on the couch with?,A. His pet | B. His brothers | C. His friend | D. His stuffed animals,B,stim_normalized/9227_3_1_happy1/questions/9227_3_1_happy1_studio_q1.wav
9227_3_1_happy1,0,happy,stim_normalized/9227_3_1_happy1/story/9227_3_1_happy1_studio.wav,2,What did the mom have them do?,A. Clean their rooms | B. Eat dinner | C. Scavenger Hunt | D. Watch a movie,C,stim_normalized/9227_3_1_happy1/questions/9227_3_1_happy1_studio_q2.wav
9227_3_1_happy1,0,happy,stim_normalized/9227_3_1_happy1/story/9227_3_1_happy1_studio.wav,3,What did they get at the end of the scavenger hunt?,A. Tickets to Disneyland | B. New skateboards | C. Movie passes | D. Shopping sprees,A,stim_normalized/9227_3_1_happy1/questions/9227_3_1_happy1_studio_q3.wav
9227_3_1_happy1,0,happy,stim_normalized/9227_3_1_happy1/story/9227_3_1_happy1_studio.wav,4,How did he feel when he found out they were going to Disneyland?,Free response,,stim_normalized/9227_3_1_happy1/questions/9227_3_1_happy1_studio_q4.wav
9227_3_1_happy1,0,happy,stim_normalized/9227_3_1_happy1/story/9227_3_1_happy1_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/9227_3_1_happy1/questions/9227_3_1_happy1_studio_q5.wav
9227_3_1_sad2,0,sad,stim_normalized/9227_3_1_sad2/story/9227_3_1_sad2_studio.wav,1,What was leaking?,A. Swimming pool | B. Hot water bottle | C. Milk container | D. Toilet,D,stim_normalized/9227_3_1_sad2/questions/9227_3_1_sad2_studio_q1.wav
9227_3_1_sad2,0,sad,stim_normalized/9227_3_1_sad2/story/9227_3_1_sad2_studio.wav,2,Which store did they go to?,A. Home Depot | B. Safeway | C. Marshalls | D. Target,A,stim_normalized/9227_3_1_sad2/questions/9227_3_1_sad2_studio_q2.wav
9227_3_1_sad2,0,sad,stim_normalized/9227_3_1_sad2/story/9227_3_1_sad2_studio.wav,3,What happened when he hit the toilet?,A. A broken shard cut his leg | B. He put gloves on | C. He used the wrong side of the hammer | D. He hit the sink on accident,A,stim_normalized/9227_3_1_sad2/questions/9227_3_1_sad2_studio_q3.wav
9227_3_1_sad2,0,sad,stim_normalized/9227_3_1_sad2/story/9227_3_1_sad2_studio.wav,4,How did she feel when he realized what happened to his leg?,Free response,,stim_normalized/9227_3_1_sad2/questions/9227_3_1_sad2_studio_q4.wav
9227_3_1_sad2,0,sad,stim_normalized/9227_3_1_sad2/story/9227_3_1_sad2_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/9227_3_1_sad2/questions/9227_3_1_sad2_studio_q5.wav
9227_3_1_spontaneous,1,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,1,Which country did they visit?,A. Guatemala | B. Panama | C. Canada | D. Mexico,B,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q1.wav
9227_3_1_spontaneous,1,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,2,What did the monkeys do to the speaker?,A. Howled at him | B. Threw things at him | C. Grabbed him | D. Mirrored his movements,C,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q2.wav
9227_3_1_spontaneous,1,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,3,How do you think he felt when the monkeys grabbed his ankle?,A. Excited | B. Angry | C. Gleeful | D. Scared,D,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q3.wav
9227_3_1_spontaneous,1,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,4,How did he feel when the monkeys let go of him?,Free response,,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q4.wav
9227_3_1_spontaneous,1,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q5.wav
